X,SigmoidX,Y
-66.92,-0.5,-0.499071
-66.91,-0.5,-0.499054
-66.9,-0.5,-0.499049
-66.89,-0.5,-0.499035
-66.88,-0.5,-0.499024
-66.87,-0.5,-0.499012
-66.86,-0.5,-0.499004
-66.85,-0.5,-0.498996
-66.84,-0.5,-0.498985
-66.83,-0.5,-0.498972
-66.82,-0.5,-0.498968
-66.81,-0.5,-0.498965
-66.8,-0.5,-0.498953
-66.79,-0.5,-0.498944
-66.78,-0.5,-0.498947
-66.77,-0.5,-0.498932
-66.76,-0.5,-0.498925
-66.75,-0.5,-0.49892
-66.74,-0.5,-0.498916
-66.73,-0.5,-0.498909
-66.72,-0.5,-0.498904
-66.71,-0.5,-0.498906
-66.7,-0.5,-0.498899
-66.69,-0.5,-0.498893
-66.68,-0.5,-0.498894
-66.67,-0.5,-0.498896
-66.66,-0.5,-0.498885
-66.65,-0.5,-0.498886
-66.64,-0.5,-0.498885
-66.63,-0.5,-0.498885
-66.62,-0.5,-0.498879
-66.61,-0.5,-0.498884
-66.6,-0.5,-0.49888
-66.59,-0.5,-0.498881
-66.58,-0.5,-0.498882
-66.57,-0.5,-0.498887
-66.56,-0.5,-0.498886
-66.55,-0.5,-0.49889
-66.54,-0.5,-0.498888
-66.53,-0.5,-0.498893
-66.52,-0.5,-0.498897
-66.51,-0.5,-0.498901
-66.5,-0.5,-0.498901
-66.49,-0.5,-0.498909
-66.48,-0.5,-0.498913
-66.47,-0.5,-0.498918
-66.46,-0.5,-0.498924
-66.45,-0.5,-0.498929
-66.44,-0.5,-0.498935
-66.43,-0.5,-0.498942
-66.42,-0.5,-0.498952
-66.41,-0.5,-0.498956
-66.4,-0.5,-0.498967
-66.39,-0.5,-0.498972
-66.38,-0.5,-0.498977
-66.37,-0.5,-0.498989
-66.36,-0.5,-0.498998
-66.35,-0.5,-0.499011
-66.34,-0.5,-0.49902
-66.33,-0.5,-0.499031
-66.32,-0.5,-0.49904
-66.31,-0.5,-0.499049
-66.3,-0.5,-0.49906
-66.29,-0.5,-0.499071
-66.28,-0.5,-0.499084
-66.27,-0.5,-0.49909
-66.26,-0.5,-0.499109
-66.25,-0.5,-0.49912
-66.24,-0.5,-0.499133
-66.23,-0.5,-0.499145
-66.22,-0.5,-0.499157
-66.21,-0.5,-0.499173
-66.2,-0.5,-0.499189
-66.19,-0.5,-0.499207
-66.18,-0.5,-0.499216
-66.17,-0.5,-0.499226
-66.16,-0.5,-0.499245
-66.15,-0.5,-0.49926
-66.14,-0.5,-0.499273
-66.13,-0.5,-0.499292
-66.12,-0.5,-0.499306
-66.11,-0.5,-0.499319
-66.1,-0.5,-0.499332
-66.09,-0.5,-0.499354
-66.08,-0.5,-0.499371
-66.07,-0.5,-0.499388
-66.06,-0.5,-0.499404
-66.05,-0.5,-0.499418
-66.04,-0.5,-0.499438
-66.03,-0.5,-0.499456
-66.02,-0.5,-0.499473
-66.01,-0.5,-0.499492
-66,-0.5,-0.499506
-65.99,-0.5,-0.499525
-65.98,-0.5,-0.499546
-65.97,-0.5,-0.499563
-65.96,-0.5,-0.499581
-65.95,-0.5,-0.499594
-65.94,-0.5,-0.499618
-65.93,-0.5,-0.499636
-65.92,-0.5,-0.499657
-65.91,-0.5,-0.499672
-65.9,-0.5,-0.499693
-65.89,-0.5,-0.499709
-65.88,-0.5,-0.49973
-65.87,-0.5,-0.499755
-65.86,-0.5,-0.499766
-65.85,-0.5,-0.499784
-65.84,-0.5,-0.499804
-65.83,-0.5,-0.499826
-65.82,-0.5,-0.499842
-65.81,-0.5,-0.499861
-65.8,-0.5,-0.499881
-65.79,-0.5,-0.499896
-65.78,-0.5,-0.499912
-65.77,-0.5,-0.499937
-65.76,-0.5,-0.499955
-65.75,-0.5,-0.499972
-65.74,-0.5,-0.499984
-65.73,-0.5,-0.500011
-65.72,-0.5,-0.500023
-65.71,-0.5,-0.500045
-65.7,-0.5,-0.500062
-65.69,-0.5,-0.500074
-65.68,-0.5,-0.500099
-65.67,-0.5,-0.500115
-65.66,-0.5,-0.500129
-65.65,-0.5,-0.500151
-65.64,-0.5,-0.50017
-65.63,-0.5,-0.50019
-65.62,-0.5,-0.500287
-65.61,-0.5,-0.500226
-65.6,-0.5,-0.500237
-65.59,-0.5,-0.500254
-65.58,-0.5,-0.500268
-65.57,-0.5,-0.500285
-65.56,-0.5,-0.5003
