X,SigmoidX,Y
-44.67,-0.5,-0.503256
-44.66,-0.5,-0.503221
-44.65,-0.5,-0.503184
-44.64,-0.5,-0.503147
-44.63,-0.5,-0.503108
-44.62,-0.5,-0.503068
-44.61,-0.5,-0.503027
-44.6,-0.5,-0.502985
-44.59,-0.5,-0.502942
-44.58,-0.5,-0.502897
-44.57,-0.5,-0.502852
-44.56,-0.5,-0.502805
-44.55,-0.5,-0.502757
-44.54,-0.5,-0.502709
-44.53,-0.5,-0.502659
-44.52,-0.5,-0.502608
-44.51,-0.5,-0.502556
-44.5,-0.5,-0.502504
-44.49,-0.5,-0.50245
-44.48,-0.5,-0.502396
-44.47,-0.5,-0.50234
-44.46,-0.5,-0.502284
-44.45,-0.5,-0.502227
-44.44,-0.5,-0.502169
-44.43,-0.5,-0.50211
-44.42,-0.5,-0.502051
-44.41,-0.5,-0.50199
-44.4,-0.5,-0.501929
-44.39,-0.5,-0.501868
-44.38,-0.5,-0.501805
-44.37,-0.5,-0.501742
-44.36,-0.5,-0.501679
-44.35,-0.5,-0.501614
-44.34,-0.5,-0.50155
-44.33,-0.5,-0.501484
-44.32,-0.5,-0.501419
-44.31,-0.5,-0.501352
-44.3,-0.5,-0.501285
-44.29,-0.5,-0.501218
-44.28,-0.5,-0.501151
-44.27,-0.5,-0.501083
-44.26,-0.5,-0.501014
-44.25,-0.5,-0.500946
-44.24,-0.5,-0.500877
-44.23,-0.5,-0.500807
-44.22,-0.5,-0.500738
-44.21,-0.5,-0.500668
-44.2,-0.5,-0.500598
-44.19,-0.5,-0.500528
-44.18,-0.5,-0.500458
-44.17,-0.5,-0.500388
-44.16,-0.5,-0.500318
-44.15,-0.5,-0.500247
-44.14,-0.5,-0.500177
-44.13,-0.5,-0.500107
-44.12,-0.5,-0.500036
-44.11,-0.5,-0.499966
-44.1,-0.5,-0.499896
-44.09,-0.5,-0.499826
-44.08,-0.5,-0.499756
-44.07,-0.5,-0.499687
-44.06,-0.5,-0.499617
-44.05,-0.5,-0.499548
-44.04,-0.5,-0.499479
-44.03,-0.5,-0.49941
-44.02,-0.5,-0.499342
-44.01,-0.5,-0.499274
-44,-0.5,-0.499207
-43.99,-0.5,-0.49914
-43.98,-0.5,-0.499073
-43.97,-0.5,-0.499007
-43.96,-0.5,-0.498941
-43.95,-0.5,-0.498876
-43.94,-0.5,-0.498811
-43.93,-0.5,-0.498747
-43.92,-0.5,-0.498683
-43.91,-0.5,-0.49862
-43.9,-0.5,-0.498558
-43.89,-0.5,-0.498496
-43.88,-0.5,-0.498435
-43.87,-0.5,-0.498375
-43.86,-0.5,-0.498315
-43.85,-0.5,-0.498257
-43.84,-0.5,-0.498199
-43.83,-0.5,-0.498142
-43.82,-0.5,-0.498085
-43.81,-0.5,-0.49803
-43.8,-0.5,-0.497975
-43.79,-0.5,-0.497922
-43.78,-0.5,-0.497869
-43.77,-0.5,-0.497817
-43.76,-0.5,-0.497766
-43.75,-0.5,-0.497716
-43.74,-0.5,-0.497667
-43.73,-0.5,-0.497619
-43.72,-0.5,-0.497572
-43.71,-0.5,-0.497527
-43.7,-0.5,-0.497482
-43.69,-0.5,-0.497438
-43.68,-0.5,-0.497396
-43.67,-0.5,-0.497354
-43.66,-0.5,-0.497314
-43.65,-0.5,-0.497275
-43.64,-0.5,-0.497237
-43.63,-0.5,-0.4972
-43.62,-0.5,-0.497165
-43.61,-0.5,-0.49713
-43.6,-0.5,-0.497097
-43.59,-0.5,-0.497065
-43.58,-0.5,-0.497034
-43.57,-0.5,-0.497005
-43.56,-0.5,-0.496977
-43.55,-0.5,-0.49695
-43.54,-0.5,-0.496925
